Resume_ID,Candidate_Name,Cosine_Rank,Cosine_Score,Cosine_Percentage,Rank_Jaccard,Jaccard_Score,Jaccard_Percentage,Rank_Difference,Score_Difference,Category,Key_Skills,Rank_Agreement
694,Candidate_694,1,0.6396577954292297,63.970001220703125,114,0.03184713375796178,3.18,-113,0.607810661671268,🌟 Excellent Match,year bootstrap expressjs year ajax year year angularjs inc may march inc may september intern front end developer technology json restful api year materializecss year mongodb year mean stack year intern front end developer technology requirejs,🔴 Large (>10)
859,Candidate_859,2,0.6396577954292297,63.970001220703125,113,0.03184713375796178,3.18,-111,0.607810661671268,🌟 Excellent Match,year bootstrap expressjs year ajax year year angularjs inc may march inc may september intern front end developer technology json restful api year materializecss year mongodb year mean stack year intern front end developer technology requirejs,🔴 Large (>10)
638,Candidate_638,3,0.6396577954292297,63.970001220703125,112,0.03184713375796178,3.18,-109,0.607810661671268,🌟 Excellent Match,year bootstrap expressjs year ajax year year angularjs inc may march inc may september intern front end developer technology json restful api year materializecss year mongodb year mean stack year intern front end developer technology requirejs,🔴 Large (>10)
749,Candidate_749,4,0.5949723720550537,59.5,181,0.029850746268656716,2.99,-177,0.565121625786397,🌟 Excellent Match,front end less year javascript less year ui less year,🔴 Large (>10)
716,Candidate_716,5,0.5431686043739319,54.31999969482422,33,0.03787878787878788,3.79,-28,0.505289816495144,🌟 Excellent Match,coding year troubleshooting,🔴 Large (>10)
657,Candidate_657,6,0.5431686043739319,54.31999969482422,32,0.03787878787878788,3.79,-26,0.505289816495144,🌟 Excellent Match,coding year troubleshooting,🔴 Large (>10)
609,Candidate_609,7,0.5361571907997131,53.619998931884766,9,0.043795620437956206,4.38,-2,0.49236157036175693,🌟 Excellent Match,avocode year photoshop,🟡 Close (±5)
804,Candidate_804,8,0.5227802991867065,52.279998779296875,630,0.023255813953488372,2.33,-622,0.4995244852332182,🌟 Excellent Match,angular less year front end less year javascript less year react less year ui less year,🔴 Large (>10)
644,Candidate_644,9,0.5170602798461914,51.709999084472656,504,0.024390243902439025,2.44,-495,0.49267003594375236,🌟 Excellent Match,cooporate design team create simple beautiful website plan development approach administered task developer,🔴 Large (>10)
861,Candidate_861,10,0.4977305829524994,49.77000045776367,117,0.031746031746031744,3.17,-107,0.46598455120646765,🌟 Excellent Match,ajax google chrome participated development well responsive single page application using react j framework javascript conjuncti json responsible checking compatibility hence worked different browser like safari sql helped developing project class web service application using front interface ui technology like object oriented javascript angular angular developed mobile based application ionic used calendar plugin also let employee schedule availability well effectively planning preparing f class student success project project jainism project part website azure accomplishmentss extensive experience designing developing ui web mobile application using html bootstrap collection framework cs cs web standard delivered instruction establishing classroom environment student involvement cs framework standard dom exception handling html system internet explorer aim create responsive login page give user option login application login without password forgot username student learn course availability jainism religion project trident computer corporation project part website aim create responsive login page top network infrastructure equipment supplier time choose right equipment company responsibility mine lead direct end interface development throughout group application create mockups wireframes project essential ionic mobile application developed mobile based application ionic used camera plugin let user save important document file project delaplex mobile application ionic mobile application using html java experience building apps integrate restful apis worked multiple project agile development team methodology also worked waterfall method experience developing user interface screen using javascript jquery jquery excellent knowledge development user experience web mobile based application involved several web application development project required responsive web design utilized latest technology layout experience developing user interface ui rich web application madhya pradesh july june created boardroom courtroom multimedia presentation including video synced deposition enhanced understanding researched updated required material needed firm partner taught undergraduate student java medium query mozilla firefox well sas schedule scope project decision implemented search functionality internal application using angular j worked compatibility fixed major layout bug supported browser using angularjs used http angularjs consuming restful web service technical instructor universal informatics indore scss student team working separate project taught programming course html develop enhance website fullest potential worked client analyze graphic web design need design appropriate solution within organization budget collaborated project manager regarding product definition typescript view profile project receipt juggler mobile application designing designed ui using tool like invison ui team experience core java concept basic oop concept,🔴 Large (>10)
