Resume_ID,SBERT_Cosine_Similarity,TF_IDF_Jaccard_Combined,Combined_Score
847,0.500011,0.07294814654554606,0.9580330848693848
657,0.49748933,0.06965391533102376,0.9332342014724042
716,0.49748933,0.06965391533102376,0.9332342014724042
675,0.4990071,0.05544793656632755,0.837199761501879
619,0.4990071,0.05544793656632755,0.837199761501879
895,0.4990071,0.05544793656632755,0.837199761501879
749,0.54175866,0.048775714047933176,0.8290971737733559
638,0.54768974,0.04321962691730214,0.796235264115432
694,0.54768974,0.04321962691730214,0.796235264115432
859,0.5476897,0.04321962691730214,0.7962352343131096
747,0.4214632,0.05259133414842369,0.7493657022359053
756,0.4050911,0.05411557454461419,0.7454023619981303
691,0.4275965,0.04973559816700484,0.7351905345942693
856,0.4275965,0.04973559816700484,0.7351905345942693
635,0.4275965,0.04973559816700484,0.7351905345942693
810,0.39261994,0.04893923805188373,0.6989456515611964
609,0.45661741,0.03779858466324327,0.6789163364930495
605,0.40325773,0.043896655013589,0.6737462737437396
1954,0.40986043,0.042382319550848646,0.6691784613228697
751,0.41288513,0.041673682413553285,0.6669836630439
1885,0.435194,0.03778054579090823,0.6599357222916035
823,0.48438573,0.03010043083082649,0.6505935245154733
858,0.38595992,0.04172088089605594,0.6436075288875548
637,0.38595992,0.04172088089605594,0.6436075288875548
693,0.38595992,0.04172088089605594,0.6436075288875548
802,0.4246617,0.03649643695447736,0.6418636555625676
102,0.3368134,0.047098442179708974,0.6372073867919543
771,0.35966486,0.04352768375945666,0.6328466974915867
803,0.39960337,0.03821697680619883,0.6316001212620174
746,0.4538867,0.031048999934464118,0.6302498554826017
608,0.4078259,0.03614196988351045,0.6246151365415908
644,0.5204846,0.02163611468720946,0.6243519182862944
772,0.38720155,0.038235216459929514,0.620809025346608
827,0.35282812,0.04245237109830614,0.6194585623917006
1909,0.3328878,0.044535681424514945,0.6161864426312771
615,0.44980252,0.028263280059696996,0.6075611144715399
629,0.44980252,0.028263280059696996,0.6075611144715399
685,0.44980252,0.028263280059696996,0.6075611144715399
1114,0.40462163,0.03398094146505832,0.6069826483078543
804,0.4174735,0.031860172921815186,0.6037587573626324
765,0.39053705,0.03499007470838537,0.6015021437008042
809,0.39053705,0.03499007470838537,0.6015021437008042
